Token Count,Expert Transfer Time(ms),GPU Computation Time(ms),CPU Computation Time(ms),Self-Attention Time(ms)
1,1.0918,0.1554,0.0715,0.0000
2,1.0918,0.2036,0.1430,0.0000
3,1.0918,0.1314,0.2144,0.0000
4,1.0918,0.1020,0.2859,0.0000
5,1.0918,0.1123,0.3574,0.0000
6,1.0918,0.1204,0.4289,0.0000
7,1.0918,0.1271,0.5004,0.0000
8,1.0918,0.1011,0.5783,0.0000
9,1.0918,0.1740,0.6721,0.0000
10,1.0918,0.1276,0.7519,0.0000
11,1.0918,0.1020,0.8385,0.0000
12,1.0918,0.1051,0.9422,0.0000
13,1.0918,0.1025,1.0389,0.0000
14,1.0918,0.1047,1.1351,0.0000
15,1.0918,0.0992,1.2412,0.0000
16,1.0918,0.1190,1.3376,0.0000
17,1.0918,0.1073,1.4490,0.0000
18,1.0918,0.1070,1.5420,0.0000
19,1.0918,0.1101,1.6401,0.0000
20,1.0918,0.1216,1.7373,0.0000
21,1.0918,0.1190,1.8244,0.0000
22,1.0918,0.1249,1.9075,0.0000
23,1.0918,0.1209,2.0048,0.0000
24,1.0918,0.1161,2.0842,0.0000
25,1.0918,0.1099,2.1856,0.0000
26,1.0918,0.1397,2.2715,0.0000
27,1.0918,0.1087,2.3611,0.0000
28,1.0918,0.1142,2.4521,0.0000
29,1.0918,0.1173,2.5505,0.0000
30,1.0918,0.1078,2.6339,0.0000
31,1.0918,0.1285,2.7579,0.0000
32,1.0918,0.1290,2.8663,0.0000
33,1.0918,0.1233,2.9733,0.0000
34,1.0918,0.1187,3.0691,0.0000
35,1.0918,0.1070,3.1842,0.0000
36,1.0918,0.1276,3.2734,0.0000
37,1.0918,0.3436,3.3785,0.0000
38,1.0918,0.1092,3.4701,0.0000
39,1.0918,0.1206,3.5561,0.0000
40,1.0918,0.1228,3.6489,0.0000
41,1.0918,0.1037,3.7467,0.0000
42,1.0918,0.1302,3.8337,0.0000
43,1.0918,0.1147,3.9447,0.0000
44,1.0918,0.1080,4.0457,0.0000
45,1.0918,0.1054,4.1392,0.0000
46,1.0918,0.1049,4.2419,0.0000
47,1.0918,0.1173,4.3268,0.0000
48,1.0918,0.1788,4.4174,0.0000
49,1.0918,0.1204,4.5158,0.0000
50,1.0918,0.2310,4.6036,0.0000
51,1.0918,0.1242,4.7023,0.0000
52,1.0918,0.1352,4.7970,0.0000
53,1.0918,0.1078,4.8837,0.0000
54,1.0918,0.1230,4.9871,0.0000
55,1.0918,0.1075,5.0844,0.0000
56,1.0918,0.1276,5.1862,0.0000
57,1.0918,0.1287,5.2833,0.0000
58,1.0918,0.1254,5.3890,0.0000
59,1.0918,0.1409,5.4934,0.0000
60,1.0918,0.1090,5.6043,0.0000
61,1.0918,0.1171,5.6953,0.0000
62,1.0918,0.1171,5.7881,0.0000
63,1.0918,0.1130,5.8652,0.0000
64,1.0918,0.3133,5.9460,0.0000
