Token Count,Expert Transfer Time(ms),GPU Computation Time(ms),CPU Computation Time(ms),Attention Time(ms)
1,0.8227,0.1938,0.3528,0.6733
2,0.8227,0.1035,0.3399,0.5701
3,0.8227,0.2007,0.3752,0.5503
4,0.8227,0.0966,0.4841,0.5714
5,0.8227,0.0856,0.5195,0.6010
6,0.8227,0.0861,0.6214,0.5421
7,0.8227,0.1175,0.7848,0.5840
8,0.8227,0.0882,0.8597,0.5722
9,0.8227,0.1369,0.9539,0.5307
10,0.8227,0.1287,0.9665,0.5295
11,0.8227,0.1178,1.0248,0.5257
12,0.8227,0.0908,1.1517,0.5982
13,0.8227,0.0844,1.2375,0.6280
14,0.8227,0.1040,1.2830,0.5643
15,0.8227,0.1531,1.3798,0.5427
16,0.8227,0.0982,1.4221,0.5637
17,0.8227,0.2387,1.5043,0.7269
18,0.8227,0.1092,1.6681,0.6071
19,0.8227,0.0906,1.7046,0.5360
20,0.8227,0.0868,1.7679,0.5457
21,0.8227,0.1020,1.9522,0.5550
22,0.8227,0.0873,2.1284,0.5380
23,0.8227,0.0861,2.0928,0.5380
24,0.8227,0.0808,2.1356,0.5309
25,0.8227,0.0827,2.2724,0.5496
26,0.8227,0.0873,2.3391,0.6461
27,0.8227,0.0913,2.3913,0.6409
28,0.8227,0.2060,2.4793,0.6095
29,0.8227,0.1628,2.6105,0.6184
30,0.8227,0.1602,2.6519,0.6097
31,0.8227,0.1614,2.7520,0.5622
32,0.8227,0.0925,2.9228,0.5624
33,0.8227,0.1187,2.9456,0.6104
34,0.8227,0.0896,2.9704,0.5504
35,0.8227,0.0887,3.0941,0.5967
36,0.8227,0.1161,3.1051,0.5576
37,0.8227,0.0856,3.1426,0.5424
38,0.8227,0.0949,3.3000,0.5828
39,0.8227,0.0887,3.3491,0.5764
40,0.8227,0.0880,3.5340,0.6035
41,0.8227,0.0882,3.7695,0.5928
42,0.8227,0.1147,3.7877,0.6427
43,0.8227,0.0885,3.7922,0.6251
44,0.8227,0.0823,4.0111,0.6650
45,0.8227,0.0873,4.0341,0.5492
46,0.8227,0.0885,4.0495,0.5527
47,0.8227,0.0956,4.2543,0.5880
48,0.8227,0.0982,4.3537,0.5932
49,0.8227,0.0830,4.1877,0.5679
50,0.8227,0.0875,4.5177,0.5484
51,0.8227,0.0825,4.5292,0.6238
52,0.8227,0.0899,4.5117,0.6253
53,0.8227,0.0825,4.6990,0.5613
54,0.8227,0.0870,4.9304,0.6303
55,0.8227,0.0842,4.9398,0.5801
56,0.8227,0.0885,5.1167,0.6076
57,0.8227,0.0892,5.0139,0.5816
58,0.8227,0.0825,4.8784,0.5751
59,0.8227,0.0882,5.1604,0.5759
60,0.8227,0.0844,5.3950,0.6005
61,0.8227,0.1016,5.4855,0.5538
62,0.8227,0.0925,5.5527,0.5859
63,0.8227,0.0823,5.5960,0.5773
64,0.8227,0.0882,5.7698,0.5703
