
各层处理时间统计(ms):
层 1: 93.39ms (, 中间层: 38.48ms, 最终层: 54.91ms, %)
层 2: 94.10ms (, 中间层: 31.86ms, 最终层: 62.24ms, %)
层 3: 79.73ms (, 中间层: 28.76ms, 最终层: 50.97ms, %)
层 4: 87.20ms (, 中间层: 31.14ms, 最终层: 56.06ms, %)
层 5: 78.48ms (, 中间层: 30.11ms, 最终层: 48.37ms, %)
层 6: 93.48ms (, 中间层: 34.67ms, 最终层: 58.81ms, %)
层 7: 157.65ms (, 中间层: 90.88ms, 最终层: 66.76ms, %)
层 8: 143.51ms (, 中间层: 72.96ms, 最终层: 70.54ms, %)
层 9: 143.77ms (, 中间层: 78.02ms, 最终层: 65.75ms, %)
层 10: 150.89ms (, 中间层: 80.99ms, 最终层: 69.90ms, %)
层 11: 132.04ms (, 中间层: 71.43ms, 最终层: 60.60ms, %)
层 12: 139.20ms (, 中间层: 73.35ms, 最终层: 65.85ms, %)
层 13: 150.45ms (, 中间层: 82.50ms, 最终层: 67.94ms, %)
层 14: 141.73ms (, 中间层: 82.05ms, 最终层: 59.68ms, %)
层 15: 143.57ms (, 中间层: 90.28ms, 最终层: 53.28ms, %)
层 16: 137.84ms (, 中间层: 86.69ms, 最终层: 51.15ms, %)
层 17: 132.40ms (, 中间层: 75.99ms, 最终层: 56.41ms, %)
层 18: 144.46ms (, 中间层: 87.77ms, 最终层: 56.69ms, %)
层 19: 144.62ms (, 中间层: 73.01ms, 最终层: 71.61ms, %)
层 20: 192.46ms (, 中间层: 94.50ms, 最终层: 97.95ms, %)
层 21: 134.41ms (, 中间层: 74.30ms, 最终层: 60.11ms, %)
层 22: 130.18ms (, 中间层: 74.43ms, 最终层: 55.74ms, %)
层 23: 124.90ms (, 中间层: 71.74ms, 最终层: 53.16ms, %)
层 24: 135.17ms (, 中间层: 72.51ms, 最终层: 62.66ms, %)
层 25: 126.54ms (, 中间层: 72.16ms, 最终层: 54.39ms, %)
层 26: 122.84ms (, 中间层: 50.02ms, 最终层: 72.82ms, %)

各层处理时间统计(ms):
层 1: 96.60ms (, 中间层: 44.59ms, 最终层: 52.00ms, %)
层 2: 78.19ms (, 中间层: 30.25ms, 最终层: 47.94ms, %)
层 3: 128.82ms (, 中间层: 71.78ms, 最终层: 57.03ms, %)
层 4: 112.22ms (, 中间层: 61.61ms, 最终层: 50.61ms, %)
层 5: 102.87ms (, 中间层: 53.52ms, 最终层: 49.36ms, %)
层 6: 92.28ms (, 中间层: 30.18ms, 最终层: 62.10ms, %)
层 7: 98.55ms (, 中间层: 32.70ms, 最终层: 65.84ms, %)
层 8: 117.08ms (, 中间层: 40.50ms, 最终层: 76.58ms, %)
层 9: 143.50ms (, 中间层: 73.28ms, 最终层: 70.21ms, %)
层 10: 149.35ms (, 中间层: 71.76ms, 最终层: 77.60ms, %)
层 11: 157.14ms (, 中间层: 90.21ms, 最终层: 66.93ms, %)
