Token Count,Expert Transfer Time(ms),GPU Computation Time(ms),CPU Computation Time(ms),Self-Attention Time(ms)
1,1.0904,0.3040,0.0740,0.0000
2,1.0904,0.1278,0.1480,0.0000
3,1.0904,0.1118,0.2221,0.0000
4,1.0904,0.1073,0.2961,0.0000
5,1.0904,0.1624,0.3701,0.0000
6,1.0904,0.1049,0.4441,0.0000
7,1.0904,0.1040,0.5181,0.0000
8,1.0904,0.1364,0.5965,0.0000
9,1.0904,0.1061,0.6892,0.0000
10,1.0904,0.1092,0.7617,0.0000
11,1.0904,0.1035,0.8383,0.0000
12,1.0904,0.1068,0.9263,0.0000
13,1.0904,0.1211,1.0290,0.0000
14,1.0904,0.1082,1.1172,0.0000
15,1.0904,0.1502,1.2259,0.0000
16,1.0904,0.1044,1.3269,0.0000
17,1.0904,0.1152,1.4188,0.0000
18,1.0904,0.1104,1.5159,0.0000
19,1.0904,0.1261,1.6326,0.0000
20,1.0904,0.1199,1.7147,0.0000
21,1.0904,0.1137,1.8045,0.0000
22,1.0904,0.1295,1.9022,0.0000
23,1.0904,0.1080,1.9895,0.0000
24,1.0904,0.1163,2.0825,0.0000
25,1.0904,0.1073,2.1811,0.0000
26,1.0904,0.1154,2.2654,0.0000
27,1.0904,0.1087,2.3731,0.0000
28,1.0904,0.1020,2.4853,0.0000
29,1.0904,0.1101,2.5628,0.0000
30,1.0904,0.1304,2.6626,0.0000
31,1.0904,0.1168,2.7676,0.0000
32,1.0904,0.1304,2.8810,0.0000
33,1.0904,0.1705,2.9892,0.0000
34,1.0904,0.1597,3.0735,0.0000
35,1.0904,0.2785,3.1514,0.0000
36,1.0904,0.2723,3.2446,0.0000
37,1.0904,0.1099,3.3277,0.0000
38,1.0904,0.1168,3.4098,0.0000
39,1.0904,0.1111,3.4825,0.0000
40,1.0904,0.1059,3.5397,0.0000
41,1.0904,0.1359,3.6258,0.0000
42,1.0904,0.1402,3.7222,0.0000
43,1.0904,0.1156,3.8247,0.0000
44,1.0904,0.1271,3.9146,0.0000
45,1.0904,0.1221,4.0162,0.0000
46,1.0904,0.1192,4.0997,0.0000
47,1.0904,0.1154,4.2025,0.0000
48,1.0904,0.1142,4.2860,0.0000
49,1.0904,0.1204,4.3643,0.0000
50,1.0904,0.1178,4.4443,0.0000
51,1.0904,0.1130,4.5432,0.0000
52,1.0904,0.1168,4.6287,0.0000
53,1.0904,0.1156,4.7260,0.0000
54,1.0904,0.1280,4.8247,0.0000
55,1.0904,0.2751,4.9237,0.0000
56,1.0904,0.2465,5.0377,0.0000
57,1.0904,0.1240,5.1407,0.0000
58,1.0904,0.1183,5.2417,0.0000
59,1.0904,0.1442,5.3457,0.0000
60,1.0904,0.1180,5.4642,0.0000
61,1.0904,0.4063,5.5779,0.0000
62,1.0904,0.1216,5.6922,0.0000
63,1.0904,0.1271,5.7821,0.0000
64,1.0904,0.1421,5.8706,0.0000
